,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
897,Alexandra Avenue,97500,Flat / Apartment,1100,2,2,2,Battersea,London,SW11 4DZ
898,Edna Street,173500,House,2144,4,4,4,Battersea,London,SW11 3DP
899,Kingholme House,137500,House,1335,3,3,3, Wimbledon,London,SW19 4RD
900,Tonsley Road,129500,House,1811,4,4,4,,London,SW18 1BG
901,Addison House,87500,Flat / Apartment,693,2,2,2,Grove End Road,London,NW8 9EL
902,Jade Terrace,195000,House,1873,5,5,5, South Hampstead,London,NW6 4EQ
903,Edge Apartments,99500,Flat / Apartment,1243,2,2,2, Twickenham,Middlesex,TW1 4RX
904,Church Road,345000,House,3825,5,5,5, Richmond,Surrey,TW10 5HG
905,Elsworthy Terrace,129500,Flat / Apartment,1366,2,2,2,,London,NW3 3DR
906,Stanmore Hill,250000,House,4222,6,6,6,Stanmore,Middlesex,HA7 3BY
907,Bickenhall Mansions,215000,Flat / Apartment,1672,3,3,3, Marylebone,London,W1U 6BT
908,Goodwood Court,80000,Flat / Apartment,548,2,2,2, Marylebone,London,W1W 5DZ
909,Portland Chambers,175000,Flat / Apartment,883,2,2,2, Fitzrovia,London,W1W 6RP
910,Monkhams Avenue,125000,House,1901,4,4,4,Woodford Green,Essex,IG8 0HB
911,Bowden House,117800,New development,847,2,2,2, Battersea,London,SW11 4FA
912,One Bishopsgate Plaza,128500,New development,652,1,1,1,,City Of London,EC2M 4JY
913,Aubrey Road,795000,House,3443,5,5,5,,London,W8 7JJ
914,Wynnstay Gardens,215000,Flat / Apartment,1806,4,4,4,,London,W8 6UP
915,Battledean Road,189500,House,2132,5,5,5,Highbury,London,N5 1UZ
916,Galleria,120000,Flat / Apartment,1355,2,2,2,29 Laycock Street,London,N1 1UR
917,Independent Place,72500,House,804,1,1,1,Hackney,London,E8 2HE
918,Wildwood Grove,110000,House,1069,2,2,2,Hampstead,London,NW3 7HU
919,Gifford Gardens,10000,New development,2258,4,4,4,,London,W7 3AS
920,Ternary Place,60000,New development,870,1,1,1, Ealing,London,W5 3HJ
921,Gloucester Road,69500,Flat / Apartment,537,1,1,1,,London,SW7 4AU
922,Gosberton Road,145000,House,1921,4,4,4,,London,SW12 8LF
923,Foxbourne Road,699950,Flat / Apartment,902,2,2,2,,London,SW17 8EN
924,Ravenslea Road,129500,House,1674,4,4,4,Balham,London,SW12 8RT
925,Cranley Gardens,260000,Flat / Apartment,1500,3,3,3,,London,SW7 3DD
926,Crooked Billet,60000,House,570,2,2,2,Wimbledon,London,SW19 4RQ
927,Alverstone Avenue,89500,House,900,3,3,3,Wimbledon,London,SW19 8BD
928,Leopold Road,116000,Penthouse,1112,2,2,2,Wimbledon,London,SW19 7JQ
929,Bloomsbury Place,50000,Flat / Apartment,622,2,2,2,,London,SW18 2JB
930,Chatham Place,62500,Flat / Apartment,797,2,2,2,,London,E9 6FJ
931,Mortimer Court,45000,Flat / Apartment,377,1,1,1,Abbey Road,London,NW8 9AD
932,Lebanon Park,275000,House,2999,7,7,7,Twickenham,Middlesex,TW1 3DG
933,St. Quintin Avenue,899950,Flat / Apartment,1115,3,3,3,,London,W10 6PB
934,Pembridge Square,125000,Flat / Apartment,649,1,1,1,,London,W2 4EH
935,Holland Park Avenue,165000,Flat / Apartment,1055,2,2,2,,London,W11 4UE
936,Stanley Crescent,345000,Penthouse,1575,2,2,2,Notting Hill,London,W11 2NA
937,Stanley Crescent,297500,Flat / Apartment,1657,3,3,3,,London,W11 2NA
938,Wimpole Mews,250000,House,1266,3,3,3,Marylebone,London,W1G 8PE
939,Cadogan Gardens,215000,Flat / Apartment,1064,2,2,2,Sloane Square,London,SW3 2RE
940,Park Mansions,199500,Flat / Apartment,1053,2,2,2,Knightsbridge,London,SW1X 7QS
941,Pont Street,170000,Flat / Apartment,1045,2,2,2,,London,SW1X 0AD
942,Empire House,260000,Flat / Apartment,1722,3,3,3,Thurloe Place,London,SW7 2RU
943,Cadogan Gardens,167500,Flat / Apartment,905,2,2,2,,London,SW3 2TH
944,Chester Street,149500,Flat / Apartment,776,1,1,1,,London,SW1X 7BB
945,Rutland Gate,289500,Flat / Apartment,1398,2,2,2,,London,SW7 1PJ
946,Rutland Gate,145000,Flat / Apartment,675,1,1,1,,London,SW7 1BB
947,Hirst Court,79500,Flat / Apartment,691,1,1,1,20 Gatliff Road,London,SW1W 8QD
948,Holland Park Avenue,189500,Flat / Apartment,1522,2,2,2,,London,W11 3QU
949,Imperial Court,185000,Flat / Apartment,1480,3,3,3,4-10 Lexham Gardens,London,W8 5JH
950,Campden Hill Gate,350000,Flat / Apartment,1804,4,4,4,Duchess Of Bedford's Walk,London,W8 7QJ
951,Vicarage Court,45000,Studio,410,0,0,0,Vicarage Gate,London,W8 4HF
952,Cornwall Mansions,289500,Flat / Apartment,1850,3,3,3,33 Kensington Court,London,W8 5BG
953,Campden House,125000,Flat / Apartment,1317,3,3,3,29 Sheffield Terrace,London,W8 7ND
954,Melbury Court,425000,Flat / Apartment,2713,6,6,6,Kensington High Street,London,W8 6NH
955,Lexham Gardens,130000,Flat / Apartment,1162,2,2,2,,London,W8 5JR
956,Thackeray House,117500,Flat / Apartment,793,2,2,2,Thackeray Street,London,W8 5HA
957,Kensington Church Street,445000,Penthouse,1894,3,3,3,,London,W8 7LP
958,Winchester Court,155000,Flat / Apartment,923,2,2,2,Vicarage Gate,London,W8 4AF
959,Hornton Street,130000,Flat / Apartment,914,2,2,2,,London,W8 7NP
960,Vincent Close,155000,House,2602,4,4,4,Esher,Surrey,KT10 8AW
961,Summer Road,132500,House,2410,5,5,5,Thames Ditton,Surrey,KT7 0QP
962,Sheen Gate Gardens,145000,House,1899,4,4,4,East Sheen,London,SW14 7PD
963,Ranmere Street,117500,House,1503,4,4,4,,London,SW12 9QQ
964,Carlton Drive,79500,New development,823,2,2,2,,London,SW15 2BS
965,Drayton Gardens,475000,House,3104,6,6,6,Chelsea,London,SW10 9RY
966,Kings Court Mansions,799950,Flat / Apartment,890,2,2,2,721 Fulham Road,London,SW6 5PB
967,Lower Mall,65000,Flat / Apartment,743,2,2,2,,London,W6 9DJ
968,Burns Road,85000,House,1167,3,3,3,Battersea,London,SW11 5GX
969,Candlemakers Apartments,56000,Flat / Apartment,779,1,1,1, Battersea,London,SW11 3RS
970,Tyneham Road,91000,House,960,3,3,3,Battersea,London,SW11 5XP
971,Emerson Court,399950,Flat / Apartment,621,1,1,1, Wimbledon,London,SW19 7PQ
972,Wimbledon Hill Road,46500,Flat / Apartment,592,1,1,1,Wimbledon,London,SW19 7QU
973,Swanage Road,153500,House,2352,5,5,5,,London,SW18 2DY
974,Lammas Road,72500,House,1344,5,5,5,Richmond,Surrey,TW10 7YD
975,Kenilworth Court,129500,Flat / Apartment,1702,4,4,4, Putney,London,SW15 1HA
976,Oakhill Road,82500,Flat / Apartment,947,2,2,2,Putney,London,SW15 2FJ
977,Gloucester Avenue,119500,Flat / Apartment,879,2,2,2,Primrose Hill,London,NW1 8JA
978,Regents Park Road,125000,Flat / Apartment,1061,2,2,2,Regent's Park,London,NW1 7SY
979,Harley Road,135000,Flat / Apartment,1225,2,2,2,,London,NW3 3BN
980,St Marys Avenue,122500,House,2289,5,5,5,Northwood,Middlesex,HA6 3AY
981,Saxon Court,58500,Flat / Apartment,1032,2,2,2, Northwood,Middlesex,HA6 3FG
982,Bromells Road,55000,New development,542,1,1,1,,London,SW4 0BG
983,Paramount Court,98500,Flat / Apartment,677,2,2,2, Bloomsbury,London,WC1E 6JP
984,Grosvenor Avenue,53000,Flat / Apartment,482,1,1,1,Highbury,London,N5 2NR
985,Alwyne Road,420000,House,2968,3,3,3,Islington,London,N1 2HN
986,Lawford Road,137500,House,1340,3,3,3,Islington,London,N1 5BJ
987,Amhurst Road,57500,Flat / Apartment,707,2,2,2,Hackney,London,E8 2AG
988,Highfields Grove,295000,House,2740,4,4,4,Highgate,London,N6 6HN
989,Basuto Road,195000,House,1795,3,3,3, Parsons Green,Fulham,SW6 4BL
990,Napier Avenue,325000,House,3156,5,5,5,Fulham,London,SW6 3PT
991,Ember Lane,125000,House,1980,4,4,4,Esher,Surrey,KT10 8EQ
992,Sandown House,97500,Penthouse,1634,3,3,3, Esher,Surrey,KT10 9SL
993,Pine Walk,110000,House,1716,4,4,4,Surbiton,Surrey,KT5 8NJ
994,Hill House Road,90000,House,1989,3,3,3,,London,SW16 2AQ
995,Wards Wharf Approach,30000,Flat / Apartment,517,1,1,1,Newham,London,E16 2ER
996,Junction House,51000,New development,577,1,1,1, Battersea,London,SW11 2NU
997,Foskett Road,35000,Flat / Apartment,302,1,1,1,Fulham,London,SW6 3LY
998,Sinclair Gardens,87500,Flat / Apartment,981,2,2,2,Brook Green,London,W14 0AU
999,Kingston Vale,109500,House,2642,3,3,3,Kingston,London,SW15 3RN
1000,Eversley Park,335000,House,3256,5,5,5,Wimbledon,London,SW19 4UU
1001,Ridgmount Road,135000,House,1723,4,4,4,,London,SW18 2DA
1002,Regents Park Road,95000,Flat / Apartment,817,2,2,2,,London,NW1 7TL
1003,Green Lane,127500,House,2711,5,5,5,Oxhey,Hertfordshire,WD19 4NJ
1004,Manchuria Road,97500,Flat / Apartment,1013,2,2,2,,London,SW11 6AE
1005,Wellington Square,395000,House,2530,6,6,6,Chelsea,London,SW3 4NW
1006,The Gatehouse,47500,Flat / Apartment,650,2,2,2,1 Tiltman Place,London,N7 7EE
1007,Tollington Way,57500,New development,840,2,2,2, London,N7 6QX,N7 6RG
1008,The Stack,599950,New development,930,3,3,3,Homerton,London,E9 6HP
1009,Marcon Place,58500,Flat / Apartment,881,2,2,2,Hackney,London,E8 1LP
1010,Lyndale Avenue,175000,House,2223,4,4,4,Childs Hill,London,NW2 2QA
1011,The Butts,295000,House,4034,6,6,6,Brentford,Middlesex,TW8 8BJ
1012,St. Dunstans Avenue,95000,House,1258,4,4,4,Acton,London,W3 6QH
1013,South Bank Tower,91000,Flat / Apartment,683,1,1,1, South Bank,London,SE1 9EY
1014,Criffel Avenue,1849950,House,2372,5,5,5,Streatham,London,SW2 4AY
1015,Ranelagh Mansions,70000,Flat / Apartment,758,2,2,2,New Kings Road,London,SW6 4RH
1016,Bradmore Park Road,127500,House,1419,3,3,3,,London,W6 0DT
1017,South Park Road,42500,Flat / Apartment,549,1,1,1,Wimbledon,London,SW19 8TA
1018,Rydens Road,139500,House,3178,4,4,4,Walton-On-Thames,Surrey,KT12 3AA
1019,Grove End Road,30000,House,2432,4,4,4,St John's Wood,London,NW8 9LY
1020,Richmond Hill,297500,House,3352,6,6,6,Richmond,Surrey,TW10 6QX
1021,Deodar Road,77500,Flat / Apartment,990,2,2,2,Putney,London,SW15 2NJ
1022,Rectory Grove,495000,House,4482,7,7,7,Clapham,London,SW4 0DZ
1023,Muncaster Road,185000,House,2088,4,4,4,,London,SW11 6NT
1024,Bishops Gate,64900,New development,560,1,1,1,82-88 Fulham High Street,London,SW6 3LF
1025,Stonefield Street,499950,Flat / Apartment,386,1,1,1,Islington,London,N1 0HW
1026,Amwell Court Estate,399950,Flat / Apartment,806,3,3,3, Finsbury Park,London,N4 2NY
1027,Packington Street,50000,Flat / Apartment,527,1,1,1,,London,N1 7EA
1028,Dalston Lane,108500,House,1705,3,3,3,Hackney,London,E8 1NG
1029,Bishops Road,159500,House,1679,4,4,4,Fulham,London,SW6 7AS
1030,Winterdown Road,85000,House,1336,3,3,3,Esher,Surrey,KT10 8LP
1031,Gosberton Road,150000,House,2084,5,5,5,,London,SW12 8LE
1032,Hoadly Road,280000,House,4050,6,6,6,,London,SW16 1AF
1033,Landmark Place At Tower Bridge,1799995,New development,1236,2,2,2,Water Lane,London,EC3R 6EA
1034,Emlyn Road,270000,House,2685,5,5,5,Stamford Brook,London,W12 9TD
1035,Berrymede Road,115000,House,1301,4,4,4,Chiswick,London,W4 5JD
1036,Lonsdale Road,247500,House,2406,5,5,5,Barnes,London,SW13 9DA
1037,Tyneham Road,799950,House,766,2,2,2,Battersea,London,SW11 5XR
1038,Eaton Square,295000,Flat / Apartment,1181,2,2,2,Belgravia,London,SW1W 9DF
1039,Hazel Lane,250000,House,4420,6,6,6,Richmond,Surrey,TW10 7AP
1040,New Road,95000,House,1397,3,3,3,Richmond,Surrey,TW10 7HY
1041,Fontarabia Road,59500,Flat / Apartment,683,1,1,1,,London,SW11 5PE
1042,Burland Road,149500,House,1892,5,5,5,,London,SW11 6SA
1043,Southwold Mansions,62500,Flat / Apartment,693,2,2,2, Maida Vale,London,W9 2LF
1044,Clarendon Court,93500,Flat / Apartment,829,2,2,2,33 Maida Vale,Little Venice,W9 1AJ
1045,Albion Road,599995,Flat / Apartment,710,2,2,2,,London,N16 9PH
1046,Elrington Road,165000,House,2048,4,4,4,Hackney,London,E8 3BJ
1047,Waldeck Road,52500,New development,666,1,1,1,Ealing,London,W13 8LY
1048,Clapham Common South Side,80000,Flat / Apartment,992,2,2,2,,London,SW4 9DX
1049,Selkirk Road,99500,House,1716,5,5,5,,London,SW17 0EP
1050,Rookery Hill,175000,House,3184,4,4,4,Ashtead,Surrey,KT21 1EG
1051,Snarsgate Street,77500,House,634,2,2,2,,London,W10 6QP
1052,Aspley Road,159500,House,2287,5,5,5,,London,SW18 2DB
1053,Pinnacle House,150000,Flat / Apartment,1438,3,3,3, Juniper Drive,London,SW18 1JE
1054,Eaton Square,375000,Flat / Apartment,1550,2,2,2,Belgravia,London,SW1W 9BG
1055,Petersham Road,325000,House,2989,4,4,4,Richmond,Surrey,TW10 7AH
1056,Eastfields Avenue,89500,Flat / Apartment,1039,2,2,2, Putney,London,SW18 1FU
1057,Sandmere Road,799999,Flat / Apartment,1076,3,3,3,,London,SW4 7QH
1058,Barnard Mews,65000,Duplex,890,2,2,2, Battersea,London,SW11 1QU
1059,Fitzwilliam Road,139500,House,1918,3,3,3,,London,SW4 0DN
1060,Alderside Apartments,55000,New development,547,1,1,1, 35 Salusbury Road,London,NW6 6BF
1061,The Watergardens,50000,Flat / Apartment,1008,3,3,3, Woodford Green,Essex,IG8 0GD
1062,Buckingham Road,155000,House,1378,3,3,3,De Beauvoir,London,N1 4HY
1063,Kings College Court,495000,New development,3330,3,3,3,55 Primrose Hill Road,London,NW3 3EA
1064,Kings College Court,285000,Flat / Apartment,1752,2,2,2,55 Primrose Hill Road,London,NW3 3EA
1065,Greensward House,225000,Flat / Apartment,2557,3,3,3, Fulham,London,SW6 2TG
1066,Ternary Place,59500,New development,807,2,2,2,North Ealing,London,W5 3HJ
1067,Wayneflete Tower Avenue,330000,House,6309,5,5,5,Esher,Surrey,KT10 8QG
1068,Oaklands Road,122500,House,1758,4,4,4,,London,SW14 8NJ
1069,Limehouse Wharf,135000,Flat / Apartment,2264,2,2,2, Canary Wharf,London,E14 8BP
1070,Lime Quarter,54500,New development,773,2,2,2,Bow,London,E3 3PJ
1071,Leythe Road,119500,House,1668,4,4,4,Acton,London,W3 8AW
1072,Carlton House,822500,New development,869,2,2,2, Putney,London,SW15 2BS
1073,Parliament View Apartments,134500,Flat / Apartment,1030,3,3,3,1 Albert Embankment,London,SE1 7XL
1074,The Tower,140000,Flat / Apartment,1145,2,2,2, Vauxhall,London,SW8 2BW
1075,Peninsula Heights,175000,Flat / Apartment,1232,2,2,2,93 Albert Embankment,London,SE1 7TY
1076,Liverpool Road,289500,House,3660,6,6,6,Kingston upon Thames,Surrey,KT2 7SX
1077,Chester Close North,235000,House,1844,4,4,4,Regent's Park,London,NW1 4JE
1078,Elm Tree Court,107500,Flat / Apartment,1142,3,3,3,Elm Tree Road,London,NW8 9JT
1079,Gayville Road,135000,House,1637,4,4,4,,London,SW11 6JW
1080,Green Street,225000,Flat / Apartment,1348,2,2,2,Mayfair,London,W1K 6RG
1081,Northstand Apartments,699950,Flat / Apartment,787,2,2,2,Highbury Stadium Square,London,N5 1FN
1082,Highbury Hill,142500,House,1761,3,3,3,Highbury,London,N5 1AU
1083,Reliance Wharf,43500,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
1084,Pattison Road,295000,House,3300,5,5,5,,London,NW2 2HJ
1085,Ternary Place,64500,New development,904,2,2,2, Ealing,London,W5 3HJ
1086,Pavilion Park,99500,New development,1681,3,3,3, East Molesey,Surrey,KT8 9DX
1087,Sheen Common Drive,550000,House,5453,6,6,6,Richmond,Surrey,TW10 5BN
1088,Nightingale Square,250000,House,2413,5,5,5,,London,SW12 8QJ
1089,Gaskarth Road,120000,House,1585,4,4,4,,London,SW12 9NN
1090,Cambridge Road,175000,House,1891,5,5,5,Barnes,London,SW13 0PG
1091,Mirabel Road,72500,Flat / Apartment,924,3,3,3,Fulham,London,SW6 7EH
1092,Tyneham Road,85000,House,780,2,2,2,Battersea,London,SW11 5XR
1093,Princes Road,224900,House,2600,5,5,5,Wimbledon,London,SW19 8RB
1094,Old York Road,47500,Flat / Apartment,598,1,1,1,,London,SW18 1TQ
1095,Tritton House,52500,New development,558,1,1,1,3 Ryeland Boulevard,London,SW18 1UF
1096,Gore Road,37000,Flat / Apartment,400,1,1,1,South Hackney,London,E9 7HW
1097,Calvin Street,250000,Flat / Apartment,2132,2,2,2,Spitalfields,London,E1 6NW
1098,Hillside Rise,70000,Bungalow,1301,3,3,3,Northwood,Middlesex,HA6 1RR
1099,Bennerley Road,159500,House,2046,4,4,4,,London,SW11 6DR
1100,Delaware Mansions,71500,Flat / Apartment,764,2,2,2, Maida Vale,London,W9 2LL
1101,Carlton Mansions,98500,Flat / Apartment,978,2,2,2, Maida Vale,London,W9 1NR
1102,Great Portland Street,485000,Penthouse,1518,3,3,3,Fitzrovia,London,W1W 7LS
1103,The Uplands,169500,House,3683,5,5,5,Loughton,Essex,IG10 1NH
1104,High Silver,109500,House,1728,4,4,4,Loughton,Essex,IG10 4EL
1105,Monkhams Avenue,132500,House,2659,5,5,5,Woodford Green,Essex,IG8 0ER
1106,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA
1107,Bromyard House,35000,Flat / Apartment,420,1,1,1, Acton,London,W3 7FG
1108,Claremont Drive,20000,House,3556,6,6,6,Esher,Surrey,KT10 9LU
1109,Lynwood Road,109500,House,2442,5,5,5,Thames Ditton,Surrey,KT7 0DN
1110,York Avenue,325000,House,3467,6,6,6,East Sheen,London,SW14 7LQ
1111,Badminton Road,899950,Flat / Apartment,939,2,2,2,,London,SW12 8BN
1112,Landmark Place At Tower Bridge,216600,New development,1236,2,2,2,Water Lane,London,EC3R 6EA
1113,Junction House,48000,New development,577,1,1,1, Battersea,London,SW11 2NU
1114,Elsham Road,82500,Flat / Apartment,869,2,2,2,Brook Green,London,W14 8HB
1115,"Park Terrace, Warriner Gardens",295000,New development,2768,4,4,4,Battersea,London,SW11 4XW
1116,Southlands Drive,58500,Flat / Apartment,784,2,2,2,Wimbledon,London,SW19 5QF
1117,Smith Terrace,297500,House,2041,3,3,3,Chelsea,London,SW3 4DL
1118,The Close,68000,House,1125,3,3,3,Richmond,Surrey,TW9 4QW
1119,Thornton Place,89900,New development,982,2,2,2,Clapham Common North Side,London,SW4 0AB
1120,Shaftesbury,67500,House,1153,4,4,4,Loughton,Essex,IG10 1HN
1121,Upshirebury Green,47500,House,890,2,2,2,Waltham Abbey,Essex,EN9 3SU
1122,Coppice Row,126500,House,2568,5,5,5, Epping,Essex,CM16 7DN
1123,Stokesheath Road,350000,House,11077,6,6,6,Oxshott,Surrey,KT22 0PS
1124,Holland Street,350000,House,2401,4,4,4,,London,W8 4NA
1125,John Spencer Square,599995,Flat / Apartment,528,1,1,1,,London,N1 2LZ
1126,Kingsland Road,55000,Flat / Apartment,736,2,2,2,Hackney,London,E8 4EG
1127,Calbourne Road,132500,House,1595,4,4,4,,London,SW12 8LW
1128,Balham Park Road,240000,House,2850,6,6,6,,London,SW12 8DZ
1129,Streathbourne Road,250000,House,3525,6,6,6,,London,SW17 8QY
1130,Phoenix Wharf,115000,Flat / Apartment,1302,2,2,2, Limehouse,London,E14 8DQ
1131,Lock Side Way,55000,New development,1023,2,2,2,Royal Albert Wharf,London,E16 2QJ
1132,City Walk Apartments,69000,Flat / Apartment,753,2,2,2, Clerkenwell,London,EC1V 3RF
1133,Worship Street,117500,Flat / Apartment,949,2,2,2,Clerkenwell,London,EC2A 2AH
1134,Thornton Avenue,20000,House,2222,5,5,5,Chiswick,London,W4 1QG
1135,Bishops Gate,104500,New development,810,2,2,2, Fulham High Street,Fulham,SW6 3LF
1136,Yvon House,699950,Flat / Apartment,848,2,2,2, Battersea,London,SW11 4GA
1137,Holden Street,90000,House,1223,3,3,3,Battersea,London,SW11 5UP
1138,Matthews Street,87500,House,1061,3,3,3,Battersea,London,SW11 5AB
1139,King Edwards Road,169500,House,1938,4,4,4,South Hackney,London,E9 7SF
1140,Lords View,84500,Flat / Apartment,960,2,2,2, St. John's Wood,London,NW8 7HL
1141,Sovereign Mews,85000,House,1213,4,4,4, Hackney,London,E2 8ER
1142,Princelet Street,20000,Flat / Apartment,2401,3,3,3,,Spitalfields,E1 6QH
1143,Eaton Square,325000,Flat / Apartment,1509,1,1,1,Belgravia,London,SW1W 9DF
1144,Egbert Street,175000,Flat / Apartment,1239,3,3,3,Primrose Hill,London,NW1 8LJ
1145,Heathside Close,125000,House,1880,4,4,4,Moor Park,Middlesex,HA6 2EQ
1146,Birchside Apartments,55000,New development,562,1,1,1, Queens Park,London,NW6 5FS
1147,Wimpole Mews,105000,Flat / Apartment,1309,3,3,3,Marylebone,London,W1G 8PD
1148,Portman Mansions,109500,Flat / Apartment,945,1,1,1, Marylebone,London,W1U 6NT
1149,Upshirebury Green,119500,House,2737,4,4,4,Waltham Abbey,Essex,EN9 3ST
1150,Eldon Grove,110000,Flat / Apartment,985,3,3,3,Hampstead,London,NW3 5PT
1151,Frognal Lane,30000,Flat / Apartment,2427,4,4,4,Hampstead,London,NW3 7DU
1152,Pursers Cross Road,215000,House,2416,5,5,5,Fulham,London,SW6 4QZ
1153,Temple Sheen Road,180000,House,2129,5,5,5,East Sheen,London,SW14 7RS
1154,Spencer Gardens,129500,House,1248,3,3,3,,London,SW14 7AH
1155,Graveney Road,112500,House,2137,5,5,5,,London,SW17 0EG
1156,Ravenswood Road,102500,House,1556,4,4,4,,London,SW12 9PN
1157,Foxbourne Road,167500,House,2346,5,5,5,,London,SW17 8EW
1158,Weltje Road,275000,House,3251,7,7,7,Ravenscourt Park,London,W6 9LT
1159,Finborough Road,50000,Flat / Apartment,670,1,1,1,,London,SW10 9DA
1160,Dewhurst Road,252000,House,2638,5,5,5,Brook Green,London,W14 0ES
1161,Sinclair Road,86500,Flat / Apartment,1023,2,2,2,,London,W14 0NP
1162,Lurline Gardens,70000,Flat / Apartment,875,2,2,2,Battersea,London,SW11 4DB
1163,Orbel Street,135000,House,1295,3,3,3,Battersea,London,SW11 3NX
1164,Riverwalk,345000,Flat / Apartment,1215,2,2,2, Westminster,London,SW1P 4FA
1165,Birdhurst Road,77500,Flat / Apartment,1066,3,3,3,,London,SW18 1AR
1166,Wilna Road,119500,House,1697,4,4,4,,London,SW18 3AY
1167,Bradstock Road,72500,Penthouse,1200,3,3,3,Hackney,London,E9 5BZ
1168,Ashby Street,70000,Flat / Apartment,606,2,2,2,Clerkenwell,London,EC1V 0ED
1169,Seward Street,69500,Flat / Apartment,796,2,2,2,Clerkenwell,London,EC1V 3PA
1170,Moor Lane,129900,Flat / Apartment,827,2,2,2,City Of London,London,EC2Y 9BA
1171,Hans Road,595000,Flat / Apartment,2817,3,3,3,Knightsbridge,London,SW3 1RW
1172,Richmond Hill,59500,Flat / Apartment,786,2,2,2,Richmond,Surrey,TW10 6QX
1173,Onslow Avenue,210000,House,2296,4,4,4,Richmond,Surrey,TW10 6QB
1174,Rotherwood Road,147500,House,1894,4,4,4,Putney,London,SW15 1LA
1175,Larpent Avenue,295000,House,3336,7,7,7,Putney,London,SW15 6UU
1176,Granard Road,45000,Flat / Apartment,570,2,2,2,,London,SW12 8UJ
1177,Worcester Gardens,55000,Flat / Apartment,672,2,2,2,,London,SW11 6LR
1178,Pall Mall,225000,Flat / Apartment,1297,2,2,2,St James's,London,SW1Y 5JH
1179,Connaught Avenue,275000,House,4925,6,6,6,Loughton,Essex,IG10 4DS
1180,Wollaton House,599950,Flat / Apartment,734,1,1,1, Islington,London,N1 0EY
1181,Aberdeen Road,65000,Flat / Apartment,667,1,1,1,,London,N5 2XA
1182,Sandilands Road,85000,House,900,2,2,2,Fulham,London,SW6 2BD
1183,Edenvale Street,82500,Flat / Apartment,1027,3,3,3,Fulham,London,SW6 2SF
1184,Linver Road,185000,House,1678,5,5,5,Fulham,London,SW6 3RB
1185,Doulton House,175000,Flat / Apartment,1390,3,3,3,11 Park Street,London,SW6 2FT
1186,Lilyville Road,315000,House,3100,5,5,5,Fulham,London,SW6 5DP
1187,Second Avenue,599950,Flat / Apartment,1128,3,3,3,Acton,London,W3 7RX
1188,St. Marys Road,199500,House,3605,6,6,6, Surbiton,Surrey,KT6 5EU
1189,Ember Lane,159500,House,3304,6,6,6,Esher,Surrey,KT10 8DZ
1190,Cornwall Gardens,119500,Flat / Apartment,752,2,2,2,,London,SW7 4BA
1191,Sheen Common Drive,265000,House,2229,4,4,4,Richmond,Surrey,TW10 5BN
1192,Aberdeen Wharf,95000,Flat / Apartment,973,2,2,2,94 Wapping High Street,London,E1W 2ND
1193,Bishops Gate,105000,New development,817,2,2,2,82-88 Fulham High Street,London,SW6 3LF
1194,Bishops Gate,69500,New development,678,2,2,2,82-88 Bishops Gate,Fulham High Street,SW6 3LF
1195,Montem Terrace,389500,New development,4453,6,6,6,35A Arterberry Road,London,SW20 8AG
1196,Belvedere Heights,42500,Flat / Apartment,502,1,1,1, St. John's Wood,London,NW8 8HZ
1197,Ashley Gardens,130000,House,2484,4,4,4,Richmond,Surrey,TW10 7BU
1198,West Hill,43900,Flat / Apartment,670,2,2,2,Putney,London,SW15 2UF
1199,Westbourne Park Road,450000,House,2742,6,6,6,Notting Hill,London,W2 5PH
1200,Lynette Avenue,599950,Flat / Apartment,689,1,1,1,,London,SW4 9HD
1201,Ronalds Road,150000,House,1327,4,4,4,Highbury,London,N5 1XB
1202,Cloudesley Street,62500,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX
1203,Tottenham Road,499999,Flat / Apartment,700,1,1,1,De Beauvoir,London,N1 4BD
1204,Hertford Road,43500,Flat / Apartment,565,1,1,1,,London,N1 5SH
1205,Dartmouth Park Road,85000,Flat / Apartment,743,2,2,2,,London,NW5 1SN
1206,The Chase,269500,House,3125,4,4,4,,London,SW4 0NH
1207,Wavendon Avenue,225000,House,2389,5,5,5,Chiswick,London,W4 4NR
1208,Chiswick,170000,House,2033,5,5,5,,London,W4 3HA
1209,Old Brompton Road,345000,House,2160,4,4,4,,London,SW7 3RA
1210,Castelnau,325000,House,3098,5,5,5,Barnes,London,SW13 9ET
1211,Dorville Crescent,65000,Flat / Apartment,650,2,2,2,,London,W6 0HJ
1212,Television Centre,139500,Flat / Apartment,981,2,2,2,101 Wood Lane,London,W12 7FT
1213,Alexander Court,47500,Flat / Apartment,705,2,2,2,Wandsworth Common West Side,London,SW18 2EJ
1214,Hotham Road,125000,House,1810,3,3,3,Putney,London,SW15 1QJ
1215,Danemere Street,115000,House,1468,3,3,3,Putney,London,SW15 1LT
1216,Meadowbank,62500,House,1213,4,4,4, Watford,Hertfordshire,WD19 4NP
1217,Copperbeech Court,57500,Flat / Apartment,1092,2,2,2, Northwood,Middlesex,HA6 2YJ
1218,North Side Wandsworth Common,69500,Flat / Apartment,815,2,2,2,,London,SW18 2SL
1219,Manchuria Road,210000,House,2325,5,5,5,,London,SW11 6AE
